"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 11:31:05 UTC 2022","Tue Oct 04 11:31:11 UTC 2022","6294","","Checking the ability to talk to an expert","","Checking the ability to talk to an expert","TC-010 Check talk ability with invalid website data","TC-010 Check talk ability with invalid website data",""
"broken","Tue Oct 04 11:33:06 UTC 2022","Tue Oct 04 11:33:08 UTC 2022","2439","","Checking the conformity of the ""Facebook"" share link","","Checking the conformity of the ""Facebook"" share link","TC-015 Check the ""Facebook"" link","TC-015 Check the ""Facebook"" link",""
"broken","Tue Oct 04 11:29:57 UTC 2022","Tue Oct 04 11:30:34 UTC 2022","37648",""," Checking the ability to change outbound voice profiles status",""," Checking the ability to change outbound voice profiles status","TC-020  Checking  outbound status changes","TC-020  Checking  outbound status changes",""
"passed","Tue Oct 04 11:33:56 UTC 2022","Tue Oct 04 11:34:00 UTC 2022","3698","","Checking the registration possibility through the 'Sign Up' button","","Checking the registration possibility through the 'Sign Up' button","TC-004 Check registration with invalid email credentials","TC-004 Check registration with invalid email credentials",""
"failed","Tue Oct 04 11:32:37 UTC 2022","Tue Oct 04 11:32:52 UTC 2022","14141","","Checking the ability of registration to Waiting List through the link ""JOIN THE WAITING""","","Checking the ability of registration to Waiting List through the link ""JOIN THE WAITING""","TC-013 Check registration ability with invalid email","TC-013 Check registration ability with invalid email",""
"passed","Tue Oct 04 11:34:15 UTC 2022","Tue Oct 04 11:34:23 UTC 2022","7915","","Checking the registration possibility through `Try for free ->` field","","Checking the registration possibility through `Try for free ->` field","TC-002 Check registration with invalid credentials","TC-002 Check registration with invalid credentials",""
"broken","Tue Oct 04 11:30:41 UTC 2022","Tue Oct 04 11:30:48 UTC 2022","7185","","Checking the ability to changer value in the “Switch + Save with Telnyx” block","","Checking the ability to changer value in the “Switch + Save with Telnyx” block","TC-011 Check changer value ability","TC-011 Check changer value ability",""
"passed","Tue Oct 04 11:32:56 UTC 2022","Tue Oct 04 11:33:01 UTC 2022","5331","","Checking the ability to search in the Support Center page with random data","","Checking the ability to search in the Support Center page with random data","TC-008 Check search ability","TC-008 Check search ability",""
"broken","Tue Oct 04 11:33:16 UTC 2022","Tue Oct 04 11:33:19 UTC 2022","3307","","Checking the operation of the dropdown menu in the header","","Checking the operation of the dropdown menu in the header","TC-007 Check operation","TC-007 Check operation",""
"passed","Tue Oct 04 11:34:06 UTC 2022","Tue Oct 04 11:34:15 UTC 2022","8950","","Checking the registration possibility through `Try for free ->` field","","Checking the registration possibility through `Try for free ->` field","TC-001 Check registration with valid credentials","TC-001 Check registration with valid credentials",""
"passed","Tue Oct 04 11:31:31 UTC 2022","Tue Oct 04 11:31:38 UTC 2022","7005","","Checking the ability to login","","Checking the ability to login","TC-017 Check login ability with invalid email credentials","TC-017 Check login ability with invalid email credentials",""
"passed","Tue Oct 04 11:32:16 UTC 2022","Tue Oct 04 11:32:25 UTC 2022","8918","","Checking the registrartion ability through the ""Create a free trial account"" button in the “Switch + Save with Telnyx” block","","Checking the registrartion ability through the ""Create a free trial account"" button in the “Switch + Save with Telnyx” block","TC-014 Check registrartion ability through the ""Create a free trial account"" button","TC-014 Check registrartion ability through the ""Create a free trial account"" button",""
"passed","Tue Oct 04 11:33:26 UTC 2022","Tue Oct 04 11:33:32 UTC 2022","5850","","Checking the redirection to the ""Terms & Conditions"" page","","Checking the redirection to the ""Terms & Conditions"" page","Check the redirection","Check the redirection",""
"passed","Tue Oct 04 11:32:31 UTC 2022","Tue Oct 04 11:32:37 UTC 2022","6368","","Checking the ability of registration to Waiting List through the link ""JOIN THE WAITING""","","Checking the ability of registration to Waiting List through the link ""JOIN THE WAITING""","TC-012 Check registration ability with valid credentials","TC-012 Check registration ability with valid credentials",""
"passed","Tue Oct 04 11:30:56 UTC 2022","Tue Oct 04 11:31:05 UTC 2022","8758","","Checking the ability to talk to an expert","","Checking the ability to talk to an expert","TC-009 Check talk ability with valid credentials","TC-009 Check talk ability with valid credentials",""
"passed","Tue Oct 04 11:31:38 UTC 2022","Tue Oct 04 11:31:47 UTC 2022","8748","","Checking the ability to login","","Checking the ability to login","TC-018 Check login ability with invalid password credentials","TC-018 Check login ability with invalid password credentials",""
"broken","Tue Oct 04 11:33:36 UTC 2022","Tue Oct 04 11:33:56 UTC 2022","19977","","Checking the registration possibility through the 'Sign Up' button","","Checking the registration possibility through the 'Sign Up' button","TC-003 Check registration with valid credentials","TC-003 Check registration with valid credentials",""
"broken","Tue Oct 04 11:31:51 UTC 2022","Tue Oct 04 11:32:08 UTC 2022","17226","","Checking the ability to order a phone numder for USA region","","Checking the ability to order a phone numder for USA region","TC-019 Check order USA phone number ability","TC-019 Check order USA phone number ability",""
"passed","Tue Oct 04 11:31:16 UTC 2022","Tue Oct 04 11:31:31 UTC 2022","15112","","Checking the ability to login","","Checking the ability to login","TC-016 Check login ability with real valid user credentials","TC-016 Check login ability with real valid user credentials",""
"passed","Tue Oct 04 11:34:31 UTC 2022","Tue Oct 04 11:34:33 UTC 2022","2529","","Checking the visibility of the footer Products menu items","","Checking the visibility of the footer Products menu items","TC-005 Check and compare footer menu items","TC-005 Check and compare footer menu items",""
